franchID,Team,W,L,T,Pct.,PF,PA,CH,yearID
MON,Montreal Alouettes,3,9,0,0.25,146,286,,1951
OTT,Ottawa Rough Riders,7,5,0,0.583,218,197,Won Grey Cup,1951
SI,Sarnia Imperials,0,0,0,,0,0,Lost Semifinal,1951
SAK,Saskatchewan Roughriders,8,6,0,0.571,277,219,Lost Grey Cup,1951
TOR,Toronto Argonauts,7,5,0,0.583,226,205,Lost Semifinal,1951
WIN,Winnipeg Blue Bombers,8,6,0,0.571,303,311,Lost Quarterfinal,1951
CAL,Calgary Stampeders,7,9,0,0.438,293,340,Lost Quarterfinal,1952
EDM,Edmonton Eskimos,9,6,1,0.594,291,280,Lost Grey Cup,1952
HAM,Hamilton Tiger-Cats,9,2,1,0.792,268,162,Lost Quarterfinal,1952
MON,Montreal Alouettes,2,10,0,0.167,136,278,,1952
OTT,Ottawa Rough Riders,5,7,0,0.417,200,238,,1952
SI,Sarnia Imperials,0,0,0,,0,0,Lost Semifinal,1952
SAK,Saskatchewan Roughriders,3,13,0,0.188,216,363,,1952
TOR,Toronto Argonauts,7,4,1,0.625,265,191,Won Grey Cup,1952
WIN,Winnipeg Blue Bombers,12,3,1,0.781,394,211,Lost Semifinal,1952
CAL,Calgary Stampeders,3,12,1,0.219,190,313,,1953
EDM,Edmonton Eskimos,12,4,0,0.75,276,157,Lost Quarterfinal,1953
HAM,Hamilton Tiger-Cats,8,6,0,0.571,229,243,Won Grey Cup,1953
MON,Montreal Alouettes,8,6,0,0.571,292,229,Lost Final,1953
OTT,Ottawa Rough Riders,7,7,0,0.5,266,238,,1953
SAK,Saskatchewan Roughriders,8,7,1,0.531,243,239,Lost Semifinal,1953
TOR,Toronto Argonauts,5,9,0,0.357,172,249,,1953
TBB,Toronto Balmy Beach,0,0,0,,0,0,Lost Semifinal,1953
WIN,Winnipeg Blue Bombers,8,8,0,0.5,226,226,Lost Grey Cup,1953
BCL,BC Lions,1,15,0,0.062,100,345,,1954
CAL,Calgary Stampeders,8,8,0,0.5,271,165,,1954
EDM,Edmonton Eskimos,11,5,0,0.688,255,163,Won Grey Cup,1954
HAM,Hamilton Tiger-Cats,9,5,0,0.643,275,207,Lost Final,1954
KWD,Kitchener-Waterloo Dutchmen,0,0,0,,0,0,Lost Semifinal,1954
MON,Montreal Alouettes,11,3,0,0.786,341,148,Lost Grey Cup,1954
OTT,Ottawa Rough Riders,2,12,0,0.143,129,337,,1954
SAK,Saskatchewan Roughriders,10,4,2,0.688,239,204,Lost Semifinal,1954
TOR,Toronto Argonauts,6,8,0,0.429,212,265,,1954
WIN,Winnipeg Blue Bombers,8,6,2,0.562,202,190,Lost Final,1954
BCL,BC Lions,5,11,0,0.312,211,330,,1955
CAL,Calgary Stampeders,4,12,0,0.25,209,299,,1955
EDM,Edmonton Eskimos,14,2,0,0.875,286,117,Won Grey Cup,1955
HAM,Hamilton Tiger-Cats,8,4,0,0.667,271,193,Lost Semifinal,1955
MON,Montreal Alouettes,9,3,0,0.75,388,214,Lost Grey Cup,1955
OTT,Ottawa Rough Riders,3,9,0,0.25,174,337,,1955
SAK,Saskatchewan Roughriders,10,6,0,0.625,270,245,Lost Semifinal,1955
TOR,Toronto Argonauts,4,8,0,0.333,239,328,Lost Final,1955
WIN,Winnipeg Blue Bombers,7,9,0,0.438,210,195,Lost Final,1955
BCL,BC Lions,6,10,0,0.375,251,361,,1956
CAL,Calgary Stampeders,4,12,0,0.25,229,410,,1956
EDM,Edmonton Eskimos,11,5,0,0.688,358,235,Won Grey Cup,1956
HAM,Hamilton Tiger-Cats,7,7,0,0.5,383,385,Lost Final,1956
MON,Montreal Alouettes,10,4,0,0.714,478,361,Lost Grey Cup,1956
OTT,Ottawa Rough Riders,7,7,0,0.5,326,359,Lost Semifinal,1956
SAK,Saskatchewan Roughriders,10,6,0,0.625,353,272,Lost Final,1956
TOR,Toronto Argonauts,4,10,0,0.286,331,413,,1956
WIN,Winnipeg Blue Bombers,9,7,0,0.562,315,228,Lost Semifinal,1956
BCL,BC Lions,4,11,1,0.281,284,369,,1957
CAL,Calgary Stampeders,6,10,0,0.375,221,413,Lost Semifinal,1957
EDM,Edmonton Eskimos,14,2,0,0.875,475,142,Lost Final,1957
HAM,Hamilton Tiger-Cats,10,4,0,0.714,250,189,Won Grey Cup,1957
MON,Montreal Alouettes,6,8,0,0.429,287,301,Lost Final,1957
OTT,Ottawa Rough Riders,8,6,0,0.571,326,237,Lost Semifinal,1957
SAK,Saskatchewan Roughriders,3,12,1,0.219,276,438,,1957
TOR,Toronto Argonauts,4,10,0,0.286,274,410,,1957
WIN,Winnipeg Blue Bombers,12,4,0,0.75,406,300,Lost Grey Cup,1957
BCL,BC Lions,3,13,0,0.188,202,399,,1958
CAL,Calgary Stampeders,6,9,1,0.406,314,312,,1958
EDM,Edmonton Eskimos,9,6,1,0.594,312,292,Lost Final,1958
HAM,Hamilton Tiger-Cats,10,3,1,0.75,291,235,Lost Grey Cup,1958
MON,Montreal Alouettes,7,6,1,0.536,265,269,Lost Semifinal,1958
OTT,Ottawa Rough Riders,6,8,0,0.429,233,243,Lost Final,1958
SAK,Saskatchewan Roughriders,7,7,2,0.5,320,324,Lost Semifinal,1958
TOR,Toronto Argonauts,4,10,0,0.286,266,308,,1958
WIN,Winnipeg Blue Bombers,13,3,0,0.812,361,182,Won Grey Cup,1958
BCL,BC Lions,9,7,0,0.562,306,301,Lost Semifinal,1959
CAL,Calgary Stampeders,8,8,0,0.5,356,301,,1959
EDM,Edmonton Eskimos,10,6,0,0.625,370,221,Lost Final,1959
HAM,Hamilton Tiger-Cats,10,4,0,0.714,298,162,Lost Grey Cup,1959
MON,Montreal Alouettes,6,8,0,0.429,193,305,Lost Semifinal,1959
OTT,Ottawa Rough Riders,8,6,0,0.571,275,217,Lost Final,1959
SAK,Saskatchewan Roughriders,1,15,0,0.062,212,567,,1959
TOR,Toronto Argonauts,4,10,0,0.286,192,274,,1959
WIN,Winnipeg Blue Bombers,12,4,0,0.75,418,272,Won Grey Cup,1959
BCL,BC Lions,5,9,2,0.375,296,356,,1960
CAL,Calgary Stampeders,6,8,2,0.438,374,404,Lost Semifinal,1960
EDM,Edmonton Eskimos,10,6,0,0.625,318,225,Lost Grey Cup,1960
HAM,Hamilton Tiger-Cats,4,10,0,0.286,273,377,,1960
MON,Montreal Alouettes,5,9,0,0.357,340,458,Lost Conference Semifinal,1960
OTT,Ottawa Rough Riders,9,5,0,0.643,400,283,Won Grey Cup,1960
SAK,Saskatchewan Roughriders,2,12,2,0.188,205,422,,1960
TOR,Toronto Argonauts,10,4,0,0.714,370,265,Lost Conference Final,1960
WIN,Winnipeg Blue Bombers,14,2,0,0.875,453,239,Lost Final,1960
BCL,BC Lions,1,13,2,0.125,215,393,,1961
CAL,Calgary Stampeders,7,9,0,0.438,300,311,Lost Conference Final,1961
EDM,Edmonton Eskimos,10,5,1,0.656,334,257,Lost Conference Semifinal,1961
HAM,Hamilton Tiger-Cats,10,4,0,0.714,340,293,Lost Grey Cup,1961
MON,Montreal Alouettes,4,9,1,0.321,213,225,,1961
OTT,Ottawa Rough Riders,8,6,0,0.571,359,285,Lost Conference Semifinal,1961
SAK,Saskatchewan Roughriders,5,10,1,0.344,211,314,,1961
TOR,Toronto Argonauts,7,6,1,0.536,255,258,Lost Conference Final,1961
WIN,Winnipeg Blue Bombers,13,3,0,0.812,360,251,Won Grey Cup,1961
BCL,BC Lions,7,9,0,0.438,346,342,,1962
CAL,Calgary Stampeders,9,6,1,0.594,352,335,Lost Conference Final,1962
EDM,Edmonton Eskimos,6,9,1,0.406,310,346,,1962
HAM,Hamilton Tiger-Cats,9,4,1,0.679,358,286,Lost Grey Cup,1962
MON,Montreal Alouettes,4,7,3,0.393,308,309,Lost Conference Final,1962
OTT,Ottawa Rough Riders,6,7,1,0.464,339,302,Lost Conference Semifinal,1962
SAK,Saskatchewan Roughriders,8,7,1,0.531,268,336,Lost Conference Semifinal,1962
TOR,Toronto Argonauts,4,10,0,0.286,259,378,,1962
WIN,Winnipeg Blue Bombers,11,5,0,0.688,385,291,Won Grey Cup,1962
BCL,BC Lions,12,4,0,0.75,387,232,Lost Grey Cup,1963
CAL,Calgary Stampeders,10,4,2,0.688,427,323,Lost Conference Semifinal,1963
EDM,Edmonton Eskimos,2,14,0,0.125,220,425,,1963
HAM,Hamilton Tiger-Cats,10,4,0,0.714,312,214,Won Grey Cup,1963
MON,Montreal Alouettes,6,8,0,0.429,277,297,Lost Conference Semifinal,1963
OTT,Ottawa Rough Riders,9,5,0,0.643,326,284,Lost Conference Final,1963
SAK,Saskatchewan Roughriders,7,7,2,0.5,223,266,Lost Conference Final,1963
TOR,Toronto Argonauts,3,11,0,0.214,202,310,,1963
WIN,Winnipeg Blue Bombers,7,9,0,0.438,302,325,,1963
BCL,BC Lions,11,2,3,0.781,328,168,Won Grey Cup,1964
CAL,Calgary Stampeders,12,4,0,0.75,352,249,Lost Conference Final,1964
EDM,Edmonton Eskimos,4,12,0,0.25,222,458,,1964
HAM,Hamilton Tiger-Cats,10,3,1,0.75,329,201,Lost Grey Cup,1964
MON,Montreal Alouettes,6,8,0,0.429,192,264,Lost Conference Semifinal,1964
OTT,Ottawa Rough Riders,8,5,1,0.607,313,228,Lost Conference Final,1964
SAK,Saskatchewan Roughriders,9,7,0,0.562,330,282,Lost Conference Semifinal,1964
TOR,Toronto Argonauts,4,10,0,0.286,243,332,,1964
WIN,Winnipeg Blue Bombers,1,14,1,0.094,270,397,,1964
BCL,BC Lions,6,9,1,0.406,286,273,,1965
CAL,Calgary Stampeders,12,4,0,0.75,340,243,Lost Conference Final,1965
EDM,Edmonton Eskimos,5,11,0,0.312,257,400,,1965
HAM,Hamilton Tiger-Cats,10,4,0,0.714,281,153,Won Grey Cup,1965
MON,Montreal Alouettes,5,9,0,0.357,183,215,Lost Conference Semifinal,1965
OTT,Ottawa Rough Riders,7,7,0,0.5,300,234,Lost Conference Final,1965
SAK,Saskatchewan Roughriders,8,7,1,0.531,276,277,Lost Conference Semifinal,1965
TOR,Toronto Argonauts,3,11,0,0.214,193,360,,1965
WIN,Winnipeg Blue Bombers,11,5,0,0.688,301,262,Lost Grey Cup,1965
BCL,BC Lions,5,11,0,0.312,254,269,,1966
CAL,Calgary Stampeders,6,9,1,0.406,227,259,,1966
EDM,Edmonton Eskimos,6,9,1,0.406,251,328,Lost Conference Semifinal,1966
HAM,Hamilton Tiger-Cats,9,5,0,0.643,264,160,Lost Conference Final,1966
MON,Montreal Alouettes,7,7,0,0.5,156,215,Lost Conference Semifinal,1966
OTT,Ottawa Rough Riders,11,3,0,0.786,278,177,Lost Grey Cup,1966
SAK,Saskatchewan Roughriders,9,6,1,0.594,351,318,Won Grey Cup,1966
TOR,Toronto Argonauts,5,9,0,0.357,182,271,,1966
WIN,Winnipeg Blue Bombers,8,7,1,0.531,264,230,Lost Conference Final,1966
BCL,BC Lions,3,12,1,0.219,239,319,,1967
CAL,Calgary Stampeders,12,4,0,0.75,382,219,Lost Conference Final,1967
EDM,Edmonton Eskimos,9,6,1,0.594,266,246,Lost Conference Semifinal,1967
HAM,Hamilton Tiger-Cats,10,4,0,0.714,250,195,Won Grey Cup,1967
MON,Montreal Alouettes,2,12,0,0.143,166,302,,1967
OTT,Ottawa Rough Riders,9,4,1,0.679,337,207,Lost Conference Final,1967
SAK,Saskatchewan Roughriders,12,4,0,0.75,346,282,Lost Grey Cup,1967
TOR,Toronto Argonauts,5,8,1,0.393,252,266,Lost Conference Semifinal,1967
WIN,Winnipeg Blue Bombers,4,12,0,0.25,212,414,,1967
BCL,BC Lions,4,11,1,0.281,217,318,,1968
CAL,Calgary Stampeders,10,6,0,0.625,412,249,Lost Grey Cup,1968
EDM,Edmonton Eskimos,8,7,1,0.531,228,288,Lost Conference Semifinal,1968
HAM,Hamilton Tiger-Cats,6,7,1,0.464,262,292,Lost Conference Semifinal,1968
MON,Montreal Alouettes,3,9,2,0.286,234,327,,1968
OTT,Ottawa Rough Riders,9,3,2,0.714,416,271,Won Grey Cup,1968
SAK,Saskatchewan Roughriders,12,3,1,0.781,345,223,Lost Conference Final,1968
TOR,Toronto Argonauts,9,5,0,0.643,284,266,Lost Conference Final,1968
WIN,Winnipeg Blue Bombers,3,13,0,0.188,210,374,,1968
BCL,BC Lions,5,11,0,0.312,235,335,Lost Conference Semifinal,1969
CAL,Calgary Stampeders,9,7,0,0.562,327,314,Lost Conference Final,1969
EDM,Edmonton Eskimos,5,11,0,0.312,241,246,,1969
HAM,Hamilton Tiger-Cats,8,5,1,0.607,307,315,Lost Conference Semifinal,1969
MON,Montreal Alouettes,2,10,2,0.214,304,395,,1969
OTT,Ottawa Rough Riders,11,3,0,0.786,399,298,Won Grey Cup,1969
SAK,Saskatchewan Roughriders,13,3,0,0.812,392,261,Lost Grey Cup,1969
TOR,Toronto Argonauts,10,4,0,0.714,406,280,Lost Conference Final,1969
WIN,Winnipeg Blue Bombers,3,12,1,0.219,192,359,,1969
BCL,BC Lions,6,10,0,0.375,295,384,,1970
CAL,Calgary Stampeders,9,7,0,0.562,293,209,Lost Grey Cup,1970
EDM,Edmonton Eskimos,9,7,0,0.562,282,287,Lost Conference Semifinal,1970
HAM,Hamilton Tiger-Cats,8,5,1,0.607,292,279,Lost Conference Final,1970
MON,Montreal Alouettes,7,6,1,0.536,246,279,Won Grey Cup,1970
OTT,Ottawa Rough Riders,4,10,0,0.286,255,279,,1970
SAK,Saskatchewan Roughriders,14,2,0,0.875,369,206,Lost Conference Final,1970
TOR,Toronto Argonauts,8,6,0,0.571,329,290,Lost Conference Semifinal,1970
WIN,Winnipeg Blue Bombers,2,14,0,0.125,184,332,,1970
BCL,BC Lions,6,9,1,0.406,282,363,,1971
CAL,Calgary Stampeders,9,6,1,0.594,290,218,Won Grey Cup,1971
EDM,Edmonton Eskimos,6,10,0,0.375,237,305,,1971
HAM,Hamilton Tiger-Cats,7,7,0,0.5,242,246,Lost Conference Final,1971
MON,Montreal Alouettes,6,8,0,0.429,226,248,,1971
OTT,Ottawa Rough Riders,6,8,0,0.429,291,277,Lost Conference Semifinal,1971
SAK,Saskatchewan Roughriders,9,6,1,0.594,347,316,Lost Conference Final,1971
TOR,Toronto Argonauts,10,4,0,0.714,289,248,Lost Grey Cup,1971
WIN,Winnipeg Blue Bombers,7,8,1,0.469,366,349,Lost Conference Semifinal,1971
BCL,BC Lions,5,11,0,0.312,254,380,,1972
CAL,Calgary Stampeders,6,10,0,0.375,331,394,,1972
EDM,Edmonton Eskimos,10,6,0,0.625,380,368,Lost Conference Semifinal,1972
HAM,Hamilton Tiger-Cats,11,3,0,0.786,372,262,Won Grey Cup,1972
MON,Montreal Alouettes,4,10,0,0.286,246,353,Lost Conference Semifinal,1972
OTT,Ottawa Rough Riders,11,3,0,0.786,298,228,Lost Conference Final,1972
SAK,Saskatchewan Roughriders,8,8,0,0.5,330,283,Lost Grey Cup,1972
TOR,Toronto Argonauts,3,11,0,0.214,254,298,,1972
WIN,Winnipeg Blue Bombers,10,6,0,0.625,401,300,Lost Conference Final,1972
BCL,BC Lions,5,9,2,0.375,261,328,Lost Division Semifinal,1973
CAL,Calgary Stampeders,6,10,0,0.375,214,368,,1973
EDM,Edmonton Eskimos,9,5,2,0.625,329,284,Lost Grey Cup,1973
HAM,Hamilton Tiger-Cats,7,7,0,0.5,304,263,,1973
MON,Montreal Alouettes,7,6,1,0.536,273,238,Lost Division Final,1973
OTT,Ottawa Rough Riders,9,5,0,0.643,275,234,Won Grey Cup,1973
SAK,Saskatchewan Roughriders,10,6,0,0.625,360,287,Lost Division Final,1973
TOR,Toronto Argonauts,7,5,2,0.571,265,231,Lost Division Semifinal,1973
WIN,Winnipeg Blue Bombers,4,11,1,0.281,267,315,,1973
BCL,BC Lions,8,8,0,0.5,306,299,Lost Division Semifinal,1974
CAL,Calgary Stampeders,6,10,0,0.375,287,307,,1974
EDM,Edmonton Eskimos,10,5,1,0.656,345,247,Lost Grey Cup,1974
HAM,Hamilton Tiger-Cats,7,9,0,0.438,279,313,Lost Division Semifinal,1974
MON,Montreal Alouettes,9,5,2,0.625,339,271,Won Grey Cup,1974
OTT,Ottawa Rough Riders,7,9,0,0.438,261,271,Lost Division Final,1974
SAK,Saskatchewan Roughriders,9,7,0,0.562,305,289,Lost Division Final,1974
TOR,Toronto Argonauts,6,9,1,0.406,281,314,,1974
WIN,Winnipeg Blue Bombers,8,8,0,0.5,258,350,,1974
BCL,BC Lions,6,10,0,0.375,276,331,,1975
CAL,Calgary Stampeders,6,10,0,0.375,387,363,,1975
EDM,Edmonton Eskimos,12,4,0,0.75,432,370,Won Grey Cup,1975
HAM,Hamilton Tiger-Cats,5,10,1,0.344,284,395,Lost Division Semifinal,1975
MON,Montreal Alouettes,9,7,0,0.562,353,345,Lost Grey Cup,1975
OTT,Ottawa Rough Riders,10,5,1,0.656,394,280,Lost Division Final,1975
SAK,Saskatchewan Roughriders,10,5,1,0.656,373,309,Lost Division Final,1975
TOR,Toronto Argonauts,5,10,1,0.344,261,324,,1975
WIN,Winnipeg Blue Bombers,6,8,2,0.438,340,383,Lost Division Semifinal,1975
BCL,BC Lions,5,9,2,0.375,308,336,,1976
CAL,Calgary Stampeders,2,12,2,0.188,316,442,,1976
EDM,Edmonton Eskimos,9,6,1,0.594,311,367,Lost Division Final,1976
HAM,Hamilton Tiger-Cats,8,8,0,0.5,269,348,Lost Division Final,1976
MON,Montreal Alouettes,7,8,1,0.469,305,273,Lost Division Semifinal,1976
OTT,Ottawa Rough Riders,9,6,1,0.594,411,346,Won Grey Cup,1976
SAK,Saskatchewan Roughriders,11,5,0,0.688,427,238,Lost Grey Cup,1976
TOR,Toronto Argonauts,7,8,1,0.469,289,354,,1976
WIN,Winnipeg Blue Bombers,10,6,0,0.625,384,316,Lost Division Semifinal,1976
BCL,BC Lions,10,6,0,0.625,369,326,Lost Division Final,1977
CAL,Calgary Stampeders,4,12,0,0.25,241,327,,1977
EDM,Edmonton Eskimos,10,6,0,0.625,412,320,Lost Grey Cup,1977
HAM,Hamilton Tiger-Cats,5,11,0,0.312,283,394,,1977
MON,Montreal Alouettes,11,5,0,0.688,311,245,Won Grey Cup,1977
OTT,Ottawa Rough Riders,8,8,0,0.5,368,344,Lost Division Final,1977
SAK,Saskatchewan Roughriders,8,8,0,0.5,330,389,,1977
TOR,Toronto Argonauts,6,10,0,0.375,251,266,Lost Division Semifinal,1977
WIN,Winnipeg Blue Bombers,10,6,0,0.625,382,336,Lost Division Semifinal,1977
BCL,BC Lions,7,7,2,0.5,359,308,,1978
CAL,Calgary Stampeders,9,4,3,0.656,381,311,Lost Division Final,1978
EDM,Edmonton Eskimos,10,4,2,0.688,452,301,Won Grey Cup,1978
HAM,Hamilton Tiger-Cats,5,10,1,0.344,225,403,Lost Division Semifinal,1978
MON,Montreal Alouettes,8,7,1,0.531,331,295,Lost Grey Cup,1978
OTT,Ottawa Rough Riders,11,5,0,0.688,395,261,Lost Division Final,1978
SAK,Saskatchewan Roughriders,4,11,1,0.281,330,459,,1978
TOR,Toronto Argonauts,4,12,0,0.25,234,389,,1978
WIN,Winnipeg Blue Bombers,9,7,0,0.562,371,351,Lost Division Semifinal,1978
BCL,BC Lions,9,6,1,0.594,328,333,Lost Division Semifinal,1979
CAL,Calgary Stampeders,12,4,0,0.75,382,278,Lost Division Final,1979
EDM,Edmonton Eskimos,12,2,2,0.812,495,219,Won Grey Cup,1979
HAM,Hamilton Tiger-Cats,6,10,0,0.375,280,338,Lost Division Semifinal,1979
MON,Montreal Alouettes,11,4,1,0.719,351,284,Lost Grey Cup,1979
OTT,Ottawa Rough Riders,8,6,2,0.562,349,315,Lost Division Final,1979
SAK,Saskatchewan Roughriders,2,14,0,0.125,194,437,,1979
TOR,Toronto Argonauts,5,11,0,0.312,234,352,,1979
WIN,Winnipeg Blue Bombers,4,12,0,0.25,283,340,,1979
BCL,BC Lions,8,7,1,0.531,381,351,,1980
CAL,Calgary Stampeders,9,7,0,0.562,407,355,Lost Division Semifinal,1980
EDM,Edmonton Eskimos,13,3,0,0.812,505,281,Won Grey Cup,1980
HAM,Hamilton Tiger-Cats,8,7,1,0.531,332,377,Lost Grey Cup,1980
MON,Montreal Alouettes,8,8,0,0.5,356,375,Lost Division Final,1980
OTT,Ottawa Rough Riders,7,9,0,0.438,377,598,Lost Division Semifinal,1980
SAK,Saskatchewan Roughriders,2,14,0,0.125,284,469,,1980
TOR,Toronto Argonauts,6,10,0,0.375,484,427,,1980
WIN,Winnipeg Blue Bombers,10,6,0,0.625,394,387,Lost Division Final,1980
BCL,BC Lions,10,6,0,0.625,438,377,Lost Division Final,1981
CAL,Calgary Stampeders,6,10,0,0.375,306,367,,1981
EDM,Edmonton Eskimos,14,1,1,0.906,576,277,Won Grey Cup,1981
HAM,Hamilton Tiger-Cats,11,4,1,0.719,414,335,Lost Division Final,1981
MON,Montreal Alouettes,3,13,0,0.188,267,518,Lost Division Semifinal,1981
OTT,Ottawa Rough Riders,5,11,0,0.312,278,618,Lost Grey Cup,1981
SAK,Saskatchewan Roughriders,9,7,0,0.562,431,371,,1981
TOR,Toronto Argonauts,2,14,0,0.125,571,326,,1981
WIN,Winnipeg Blue Bombers,11,5,0,0.688,517,299,Lost Division Semifinal,1981
BCL,BC Lions,9,7,0,0.562,449,390,,1982
CAL,Calgary Stampeders,9,6,1,0.594,403,440,Lost Division Semifinal,1982
EDM,Edmonton Eskimos,11,5,0,0.688,544,323,Won Grey Cup,1982
HAM,Hamilton Tiger-Cats,8,7,1,0.531,396,401,Lost Division Semifinal,1982
MON,Montreal Concordes,2,14,0,0.125,267,502,,1982
OTT,Ottawa Rough Riders,5,11,0,0.312,426,630,Lost Division Final,1982
SAK,Saskatchewan Roughriders,6,9,1,0.406,427,436,,1982
TOR,Toronto Argonauts,9,6,1,0.594,369,428,Lost Grey Cup,1982
WIN,Winnipeg Blue Bombers,11,5,0,0.688,444,352,Lost Division Final,1982
BCL,BC Lions,11,5,0,0.688,477,326,Lost Grey Cup,1983
CAL,Calgary Stampeders,8,8,0,0.5,425,378,,1983
EDM,Edmonton Eskimos,8,8,0,0.5,450,377,Lost Division Semifinal,1983
HAM,Hamilton Tiger-Cats,5,10,1,0.344,389,498,Lost Division Final,1983
MON,Montreal Concordes,5,10,1,0.344,367,447,,1983
OTT,Ottawa Rough Riders,8,8,0,0.5,353,393,Lost Division Semifinal,1983
SAK,Saskatchewan Roughriders,5,11,0,0.312,360,536,,1983
TOR,Toronto Argonauts,12,4,0,0.75,334,358,Won Grey Cup,1983
WIN,Winnipeg Blue Bombers,9,7,0,0.562,412,402,Lost Division Final,1983
BCL,BC Lions,12,3,1,0.781,445,281,Lost Division Final,1984
CAL,Calgary Stampeders,6,10,0,0.375,314,425,,1984
EDM,Edmonton Eskimos,9,7,0,0.562,464,443,Lost Division Semifinal,1984
HAM,Hamilton Tiger-Cats,6,9,1,0.406,353,439,Lost Grey Cup,1984
MON,Montreal Concordes,6,9,1,0.406,386,404,Lost Division Semifinal,1984
OTT,Ottawa Rough Riders,4,12,0,0.25,306,446,,1984
SAK,Saskatchewan Roughriders,6,9,1,0.406,348,479,,1984
TOR,Toronto Argonauts,9,6,1,0.594,241,506,Lost Division Final,1984
WIN,Winnipeg Blue Bombers,11,4,1,0.719,523,309,Won Grey Cup,1984
BCL,BC Lions,13,3,0,0.812,481,297,Won Grey Cup,1985
CAL,Calgary Stampeders,3,13,0,0.188,256,429,,1985
EDM,Edmonton Eskimos,10,6,0,0.625,432,373,Lost Division Semifinal,1985
HAM,Hamilton Tiger-Cats,8,8,0,0.5,377,315,Lost Grey Cup,1985
